epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
73,4023.28,1.17492,0.75865,1.10504,0.70463,0.62317,0.721,0.43565,1.29633,0.89997,1.17811,0.0002872,0.0002872,0.0002872
74,4073.11,1.10811,0.74208,1.08419,0.71408,0.64609,0.69086,0.44756,1.23795,0.87533,1.1695,0.0002773,0.0002773,0.0002773
75,4123,1.18149,0.76277,1.09578,0.73504,0.64127,0.69034,0.4414,1.2736,0.92649,1.16887,0.0002674,0.0002674,0.0002674
76,4174.94,1.18829,0.74587,1.08996,0.54317,0.67958,0.63595,0.42961,1.33525,0.93437,1.17469,0.0002575,0.0002575,0.0002575
77,4226.51,1.17543,0.76871,1.103,0.59625,0.74925,0.65888,0.45178,1.25701,0.89029,1.16554,0.0002476,0.0002476,0.0002476
78,4277.93,1.16978,0.75572,1.10132,0.72959,0.72883,0.69429,0.42482,1.20776,0.87094,1.15887,0.0002377,0.0002377,0.0002377
79,4330.14,1.24303,0.79109,1.12948,0.61393,0.65299,0.62087,0.39442,1.23904,0.87725,1.16065,0.0002278,0.0002278,0.0002278
80,4380.28,1.12352,0.71624,1.07551,0.6741,0.67018,0.62399,0.3827,1.29378,0.88533,1.1716,0.0002179,0.0002179,0.0002179
81,4436.98,1.17457,0.74329,1.09248,0.59615,0.56967,0.59066,0.40115,1.24628,0.89546,1.16453,0.000208,0.000208,0.000208
82,4487.7,1.2081,0.77409,1.10389,0.70397,0.65573,0.73746,0.48762,1.23374,0.87123,1.16455,0.0001981,0.0001981,0.0001981
83,4539.75,1.15383,0.74787,1.0902,0.65993,0.75602,0.75359,0.47998,1.2879,0.87928,1.17585,0.0001882,0.0001882,0.0001882
84,4591.38,1.167,0.7473,1.07656,0.6078,0.78492,0.69012,0.46037,1.30732,0.92742,1.17469,0.0001783,0.0001783,0.0001783
85,4641.99,1.13531,0.72304,1.07822,0.55031,0.81194,0.66033,0.44252,1.25293,0.94519,1.17008,0.0001684,0.0001684,0.0001684
86,4699.2,1.12119,0.72504,1.0954,0.79981,0.66755,0.71003,0.4472,1.21902,0.88373,1.16668,0.0001585,0.0001585,0.0001585
87,4752.13,1.10865,0.7151,1.0722,0.61368,0.79776,0.69232,0.45167,1.25521,0.85724,1.16902,0.0001486,0.0001486,0.0001486
88,4807.7,1.05311,0.6933,1.05293,0.65797,0.54166,0.63814,0.4273,1.25314,0.88582,1.16337,0.0001387,0.0001387,0.0001387
89,4858.97,1.19517,0.75996,1.09889,0.66767,0.52144,0.6321,0.43029,1.21083,0.91254,1.15549,0.0001288,0.0001288,0.0001288
90,4914.73,1.14098,0.74063,1.08168,0.65903,0.64701,0.67583,0.43531,1.20832,0.87348,1.15965,0.0001189,0.0001189,0.0001189
